City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
187,viqueque,-8.8673,126.3658,24.93,79,57,1.35,TL,1701203986
188,hermanus,-34.4187,19.2345,17.66,69,47,5.78,ZA,1701203866
189,port alfred,-33.5906,26.891,19.54,78,100,4.02,ZA,1701203988
190,langzhong,31.5504,105.9938,14.14,69,100,2.56,CN,1701203990
191,black point,-34.6187,137.8972,16.56,83,100,6.99,AU,1701203991
192,bodo,67.28,14.405,-1.98,69,0,5.66,NO,1701203992
193,antalaha,-14.9003,50.2788,22.35,86,15,2.53,MG,1701203994
194,weno,7.4515,151.8468,27.97,78,40,3.09,FM,1701203995
195,awjilah,29.1081,21.2869,14.8,35,0,3.65,LY,1701203996
196,dudinka,69.4058,86.1778,-26.24,100,40,1.61,RU,1701203998
197,mhlume,-26.0333,31.85,33.91,71,14,2.2,SZ,1701203999
198,och'amch'ire,42.7123,41.4686,4.71,64,35,3.45,GE,1701204000
199,labuan,5.2767,115.2417,25.2,94,20,0.0,MY,1701204002
200,yuzhno-kurilsk,44.0306,145.8556,3.54,74,72,13.15,RU,1701204003
201,mount isa,-20.7333,139.5,22.87,83,75,1.54,AU,1701204004
202,vadso,70.0744,29.7487,1.09,69,75,9.26,NO,1701203415
203,tromso,69.6496,18.957,-5.99,86,0,1.03,NO,1701203759
204,el jadid,33.2549,-8.506,17.08,66,1,1.67,MA,1701204010
205,fortuna,40.5982,-124.1573,18.19,41,0,4.12,US,1701204011
206,port mathurin,-19.6833,63.4167,24.81,73,15,3.94,MU,1701204012
207,livingston,55.9029,-3.5226,2.37,76,40,2.06,GB,1701204014
208,santa croce camerina,36.8289,14.5268,15.82,94,40,5.14,IT,1701204015
209,yemel'yanovo,56.1681,92.6767,-23.29,84,40,0.0,RU,1701204016
210,puente-genil,37.3894,-4.7669,14.13,82,43,0.94,ES,1701204018
211,mount pearl,47.5166,-52.7813,9.42,97,100,15.43,CA,1701204019
212,vilyuysk,63.7553,121.6247,-17.9,92,42,3.95,RU,1701204020
213,codajas,-3.8367,-62.0569,30.96,55,91,1.5,BR,1701204022
214,puerto deseado,-47.7503,-65.8938,21.81,20,10,12.59,AR,1701204023
215,sandnessjoen,66.0217,12.6316,1.06,55,75,2.57,NO,1701203771
216,colombo,6.9319,79.8478,23.97,87,99,4.69,LK,1701203892
217,susuman,62.7833,148.1667,-29.12,100,99,0.4,RU,1701204027
218,zhangye,38.9342,100.4517,-4.4,59,32,0.89,CN,1701204028
219,pandan,14.0453,124.1694,26.67,88,57,5.82,PH,1701203577
220,mogadishu,2.0371,45.3438,27.48,78,100,7.7,SO,1701204031
221,grand baie,-20.0182,57.5802,24.26,90,20,3.61,MU,1701204032
222,tosontsengel,48.7567,98.2839,-26.86,100,100,0.48,MN,1701204035
223,inirida,3.8653,-67.9239,30.11,66,64,0.67,CO,1701204038
224,norton,-17.8833,30.7,22.38,37,51,3.03,ZW,1701204039
225,tazacorte,28.629,-17.9293,19.54,81,0,3.09,ES,1701204040
226,mount gambier,-37.8333,140.7667,14.43,91,100,6.08,AU,1701204042
227,santarem,-2.4431,-54.7083,32.07,58,20,2.57,BR,1701203837
228,baharly,38.4362,57.4316,10.74,68,91,5.26,TM,1701204046
229,vila franca do campo,37.7167,-25.4333,19.23,99,87,2.25,PT,1701204047
230,callaway,30.153,-85.5699,16.62,40,0,3.6,US,1701204048
231,masterton,-40.9597,175.6575,13.82,96,100,2.48,NZ,1701204050
232,tamandare,-8.7597,-35.1047,25.5,75,13,4.17,BR,1701204051
233,pasuquin,18.3328,120.6177,23.97,94,20,1.03,PH,1701204052
234,sumber,-6.7603,108.4831,24.9,78,85,1.74,ID,1701204053
235,vilyuchinsk,52.9306,158.4028,-8.37,82,100,2.36,RU,1701204056
236,erechim,-27.6342,-52.2739,19.99,96,71,1.77,BR,1701204057
237,shatki,55.1887,44.1249,-8.73,97,24,1.96,RU,1701203896
238,igarka,67.4667,86.5833,-22.09,96,88,2.88,RU,1701204061
239,mil'kovo,55.6078,37.7956,-5.78,97,67,2.95,RU,1701204063
240,esperalvillo,18.8151,-70.0356,30.25,73,31,2.1,DO,1701204064
241,kirakira,-10.4544,161.9205,28.08,83,58,3.51,SB,1701204065
242,barra de santo antonio,-9.4047,-35.5072,27.6,72,2,3.92,BR,1701204067
243,vera,-29.4593,-60.2126,29.38,61,4,6.49,AR,1701203899
244,ormara,25.2088,64.6357,23.99,62,24,3.6,PK,1701204070
245,okha,53.5739,142.9478,-12.55,87,87,2.4,RU,1701204071
246,el granada,37.5027,-122.4694,20.52,52,0,6.17,US,1701204072
247,new norfolk,-42.7826,147.0587,12.72,94,97,1.31,AU,1701203551
248,waddan,29.1614,16.139,16.22,33,0,2.79,LY,1701204075
249,xilin hot,43.9667,116.0333,-19.56,86,5,5.23,CN,1701204076
250,vorgashor,67.5833,63.95,-13.36,91,100,3.07,RU,1701203561
251,akjoujt,19.6969,-14.4164,23.77,15,79,4.19,MR,1701204079
252,puerto ayacucho,5.6639,-67.6236,31.96,60,42,1.11,VE,1701204080
253,sao felix do xingu,-6.6447,-51.995,30.78,43,90,1.58,BR,1701204082
254,crane,31.3974,-102.3501,13.92,40,83,4.35,US,1701204083
255,tralee,52.2704,-9.7026,6.51,77,100,0.38,IE,1701204084
256,barakani,-12.1356,44.4317,26.53,79,9,3.28,KM,1701204086
257,bandarban,22.1965,92.2262,17.33,88,2,1.12,BD,1701204087
258,harstad,68.799,16.5293,-0.34,76,10,3.11,NO,1701204088
259,colonia,50.9333,6.95,1.59,84,75,2.57,DE,1701203932
260,sanctuary point,-35.1114,150.629,20.42,95,100,9.25,AU,1701204091
261,nuuk,64.1835,-51.7216,1.34,44,20,12.35,GL,1701203526
262,bibiani,6.4635,-2.3194,23.41,92,23,1.22,GH,1701204094
263,aginskoye,51.1,114.53,-15.75,79,25,7.55,RU,1701204095
264,changzhi,35.2089,111.7386,6.99,33,100,3.44,CN,1701204096
265,st. john's,47.5649,-52.7093,9.88,97,100,15.43,CA,1701204098
266,akureyri,65.6835,-18.0878,-0.04,100,75,0.0,IS,1701204099
